filename,title,source_url,publisher,publication_date,document_type,regulatory_framework,licence,fetch_status,notes
uk_ets_participating_2026.md,Participating in the UK ETS,https://www.gov.uk/government/publications/participating-in-the-uk-ets/participating-in-the-uk-ets,DESNZ,2026-02-06,scheme_rules,UK_ETS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error; URL was returned by WebSearch but not accepted by web_fetch
uk_ets_technical_guidance_collection_2026.md,UK Emissions Trading Scheme (UK ETS): technical guidance and tools,https://www.gov.uk/government/collections/uk-emissions-trading-scheme-uk-ets-technical-guidance-and-tools,DESNZ,2026-02-06,scheme_rules,UK_ETS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
uk_ets_carbon_price_civil_penalties_2026.md,UK ETS: Carbon price for use in civil penalties 2026,https://www.gov.uk/government/publications/determinations-of-the-uk-ets-carbon-price/uk-ets-carbon-price-for-use-in-civil-penalties-2026,DESNZ,2026-01-01,scheme_rules,UK_ETS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; key data point from search snippet: 2026 civil penalty carbon price = £49.41/tCO2e; ARP = £28 from 8 April 2026
uk_ets_policy_overview_2026.md,UK Emissions Trading Scheme (UK ETS): a policy overview,https://www.gov.uk/government/publications/uk-emissions-trading-scheme-uk-ets-policy-overview/uk-emissions-trading-scheme-uk-ets-a-policy-overview,DESNZ,2026-02-06,guidance,UK_ETS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
uk_cbam_factsheet_2026.md,Factsheet: Carbon border adjustment mechanism,https://www.gov.uk/government/publications/factsheet-carbon-border-adjustment-mechanism-cbam/factsheet-carbon-border-adjustment-mechanism,HMT/HMRC,2026-04-09,guidance,CBAM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; CBAM live from 1 Jan 2027; £50k registration threshold
uk_cbam_policy_summary.md,Carbon border adjustment mechanism (CBAM): Policy Summary,https://www.gov.uk/government/publications/carbon-border-adjustment-mechanism-cbam-policy-summary/carbon-border-adjustment-mechanism-cbam-policy-summary,HMT/HMRC,2026-04-09,guidance,CBAM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
uk_cbam_draft_regulations_emissions_verification.md,Draft regulations: Carbon Border Adjustment Mechanism (CBAM) (Emissions and Verification),https://www.gov.uk/government/consultations/draft-regulations-carbon-border-adjustment-mechanism-cbam-emissions-and-verification,HMRC,2026-04-09,regulation,CBAM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; consultation closes 21 May 2026
secr_environmental_reporting_guidelines.md,Environmental reporting guidelines: including Streamlined Energy and Carbon Reporting requirements,https://www.gov.uk/government/publications/environmental-reporting-guidelines-including-mandatory-greenhouse-gas-emissions-reporting-guidance,DEFRA,2019-03-01,guidance,SECR,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
secr_evaluation_2026.md,Streamlined Energy and Carbon Reporting (SECR) regulations: evaluation,https://www.gov.uk/government/publications/streamlined-energy-and-carbon-reporting-secr-regulations-evaluation,DESNZ,2026-01-01,guidance,SECR,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
cca_statutory_guidance_2026.md,Climate Change Agreements: statutory guidance 2026,https://www.gov.uk/government/publications/climate-change-agreements-statutory-guidance/climate-change-agreements-statutory-guidance-2026-accessible-webpage,DESNZ,2026-02-01,guidance,CCA,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; new scheme runs 1 Jan 2026 to 31 Dec 2030; 51 sectors; targets at facility level; TP7-TP9
cca_managing_agreement.md,Managing a climate change agreement (CCA),https://www.gov.uk/guidance/managing-your-climate-change-agreement-cca,DESNZ,2026-02-01,guidance,CCA,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
mees_non_domestic_landlord_guidance.md,Non-domestic private rented property: minimum energy efficiency standard - landlord guidance,https://www.gov.uk/guidance/non-domestic-private-rented-property-minimum-energy-efficiency-standard-landlord-guidance,DESNZ,2023-04-01,guidance,MEES,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; current minimum EPC E for non-domestic PRS; 7-year payback exemption test
mees_epc_b_consultation.md,Non-domestic Private Rented Sector minimum energy efficiency standards: EPC B implementation,https://www.gov.uk/government/consultations/non-domestic-private-rented-sector-minimum-energy-efficiency-standards-epc-b-implementation,DESNZ,2024-01-01,consultation,MEES,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
ukfgas_guidance_september_2024.md,Fluorinated Greenhouse Gases - F-gas guidance September 2024,https://assets.publishing.service.gov.uk/media/66ea868024c4f1826d81bcd0/F-gas_Guidance_September_2024.pdf,DEFRA,2024-09-01,guidance,F_GAS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; PDF; sets out HFC phasedown 79% by 2030 vs 2009-2012 baseline (retained EU 517/2014)
ukfgas_assessment_report_2022.md,F gas regulation in Great Britain: Assessment report December 2022,https://assets.publishing.service.gov.uk/media/63a2f8e9e90e075878e52448/F_gas_regulation_in_Great_Britain.pdf,DEFRA,2022-12-01,assessment,F_GAS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
ukfgas_retained_regulation_517_2014.md,Regulation (EU) No 517/2014 (retained as UK law) on fluorinated greenhouse gases,https://www.legislation.gov.uk/eur/2014/517,UK Legislation,2014-04-16,regulation,F_GAS,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; retained EU law via EUWA 2018
ietf_phase3_collection.md,Industrial Energy Transformation Fund (collection),https://www.gov.uk/government/collections/industrial-energy-transformation-fund,DESNZ,2024-01-01,guidance,IETF,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
ietf_phase3_spring_2024_guidance.md,Industrial Energy Transformation Fund - Phase 3 Spring 2024 guidance,https://assets.publishing.service.gov.uk/media/65aa946375154600107b4a54/ietf-phase-3-spring-2024-guidance.pdf,DESNZ,2024-01-01,guidance,IETF,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; PDF; Phase 3 = up to £185m 2024-2028; feasibility/engineering studies + deployment grants
ietf_future_consultation.md,Future of the Industrial Energy Transformation Fund,https://www.gov.uk/government/consultations/future-of-the-industrial-energy-transformation-fund,DESNZ,2023-06-01,consultation,IETF,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
hpbm_publication.md,Hydrogen production business model,https://www.gov.uk/government/publications/hydrogen-production-business-model,DESNZ,2023-12-01,guidance,HPBM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; HPBM = Low Carbon Hydrogen Agreement; 15-year contract term
hpbm_har2_application_guidance.md,Second Hydrogen Allocation Round (HAR2) Application Guidance,https://assets.publishing.service.gov.uk/media/6604269ee8c442001a220374/hydrogen-application-round-2-application-guidance.pdf,DESNZ,2024-03-27,guidance,HPBM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL; PDF; HAR2 delivery years 31 Mar 2026 - 31 Mar 2029
hpbm_revenue_support_regulations_2023.md,The Hydrogen Production Revenue Support (Directions Eligibility and Counterparty) Regulations 2023,https://www.legislation.gov.uk/uksi/2023/1419/contents/made,UK Legislation,2023-12-19,regulation,HPBM,Open Government Licence v3.0,fetch_failed,web_fetch tool rejected URL with 'URL not in provenance set' error
